aldo_pH7p5_Elution1_0022_circles#_8_sc.txt - 1.00000 * Buffer_21.dat
 Q 	 I(Q) 	 ecart_type
     0.104568	-2.63302e-007	 2.89335e-007
     0.105139	-2.49398e-007	 2.88974e-007
     0.105711	 1.86898e-007	 2.88690e-007
     0.106282	-5.32964e-008	 2.87741e-007
     0.106853	-1.39902e-007	 2.87126e-007
     0.107424	-8.78295e-007	 2.84839e-007
     0.107996	-5.06399e-007	 2.84849e-007
     0.108567	-4.07897e-007	 2.84387e-007
     0.109138	-2.42399e-007	 2.84038e-007
     0.109709	 7.56045e-008	 2.83853e-007
     0.110281	-2.28029e-008	 2.82394e-007
     0.110852	 2.05597e-007	 2.82096e-007
     0.111423	 2.03727e-010	 2.80890e-007
     0.111995	-9.95598e-007	 2.78400e-007
     0.112566	-8.17599e-007	 2.77796e-007
     0.113137	-1.39997e-007	 2.78179e-007
     0.113708	-2.49398e-007	 2.77503e-007
     0.114280	-6.76097e-007	 2.76153e-007
     0.114851	-4.25396e-007	 2.76062e-007
     0.115422	-5.79093e-007	 2.75269e-007
     0.115993	-7.25195e-007	 2.74791e-007
     0.116564	-1.00801e-007	 2.75291e-007
     0.117136	-1.09401e-007	 2.74816e-007
     0.117707	 1.81404e-007	 2.74634e-007
     0.118278	-3.12306e-007	 2.73400e-007
     0.118849	-6.26897e-007	 2.72627e-007
     0.119421	-8.58796e-007	 2.71202e-007
     0.119992	-5.46504e-007	 2.71478e-007
     0.120563	-3.90937e-008	 2.72009e-007
     0.121134	-2.16496e-007	 2.71486e-007
     0.121706	-2.81798e-007	 2.70829e-007
     0.122277	-3.89991e-009	 2.70397e-007
     0.122848	 1.00990e-008	 2.70286e-007
     0.123419	-2.94203e-007	 2.69366e-007
     0.123990	-4.37401e-007	 2.68380e-007
     0.124562	-3.09301e-007	 2.68137e-007
     0.125133	-1.17798e-007	 2.68010e-007
     0.125704	-1.15695e-007	 2.67801e-007
     0.126275	-4.06093e-007	 2.66751e-007
     0.126846	-3.99799e-007	 2.66171e-007
     0.127418	-6.75696e-007	 2.65164e-007
     0.127989	-5.55898e-007	 2.64782e-007
     0.128560	-1.64102e-007	 2.65256e-007
     0.129131	-1.60071e-009	 2.65180e-007
     0.129702	-3.38987e-008	 2.64461e-007
     0.130273	-1.14000e-007	 2.63858e-007
     0.130845	-4.05904e-007	 2.63017e-007
     0.131416	-5.74400e-007	 2.62163e-007
     0.131987	-1.75904e-007	 2.62545e-007
     0.132558	 9.45001e-008	 2.62836e-007
     0.133129	-1.67500e-007	 2.62103e-007
     0.133701	-2.22703e-007	 2.61470e-007
     0.134272	-5.55701e-007	 2.60154e-007
     0.134843	-2.20694e-007	 2.60393e-007
     0.135414	 2.35013e-008	 2.60495e-007
     0.135985	-2.18497e-007	 2.59604e-007
     0.136556	-2.61301e-007	 2.59278e-007
     0.137127	-1.28799e-007	 2.58885e-007
     0.137699	 1.76398e-007	 2.59210e-007
     0.138270	-2.44603e-007	 2.57992e-007
     0.138841	-1.81200e-007	 2.57711e-007
     0.139412	-6.56000e-008	 2.57324e-007
     0.139983	-7.42002e-008	 2.56791e-007
     0.140554	-3.76996e-007	 2.56037e-007
     0.141125	-6.24896e-007	 2.55163e-007
     0.141697	-8.46994e-007	 2.54278e-007
     0.142268	-7.49802e-007	 2.53916e-007
     0.142839	-9.10950e-008	 2.54808e-007
     0.143410	-4.89017e-008	 2.54394e-007
     0.143981	-1.04301e-007	 2.53924e-007
     0.144552	-2.04018e-008	 2.53490e-007
     0.145123	-1.17703e-007	 2.53114e-007
     0.145694	-2.67602e-007	 2.52634e-007
     0.146265	-4.10000e-007	 2.51733e-007
     0.146837	-2.34097e-007	 2.51721e-007
     0.147408	-2.78698e-007	 2.51140e-007
     0.147979	-3.41395e-007	 2.50748e-007
     0.148550	-2.79702e-007	 2.50621e-007
     0.149121	-4.90996e-007	 2.49644e-007
     0.149692	-2.14997e-007	 2.49666e-007
     0.150263	-1.43802e-007	 2.49506e-007
     0.150834	-1.34401e-007	 2.49348e-007
     0.151405	-7.79983e-008	 2.48760e-007
     0.151976	-3.66694e-007	 2.47798e-007
     0.152547	-1.77199e-007	 2.47923e-007
     0.153118	-2.14306e-007	 2.47563e-007
     0.153689	-5.12104e-007	 2.46578e-007
     0.154261	-4.14599e-007	 2.46197e-007
     0.154832	-2.21298e-007	 2.46414e-007
     0.155403	-1.54294e-007	 2.46076e-007
     0.155974	-4.01997e-008	 2.45645e-007
     0.156545	-2.64205e-007	 2.44926e-007
     0.157116	 5.59012e-008	 2.45201e-007
     0.157687	 2.72499e-007	 2.45391e-007
     0.158258	 2.77403e-007	 2.45086e-007
     0.158829	 2.13702e-007	 2.44371e-007
     0.159400	 2.02999e-008	 2.43734e-007
     0.159971	 8.48959e-008	 2.43718e-007
     0.160542	-1.10900e-007	 2.42966e-007
     0.161113	-2.06906e-007	 2.42461e-007
     0.161684	-1.01099e-007	 2.42249e-007
     0.162255	-8.10032e-008	 2.41832e-007
     0.162826	 2.52199e-007	 2.41837e-007
     0.163397	 4.44299e-007	 2.41692e-007
     0.163968	 1.90099e-007	 2.40953e-007
     0.164539	 2.68803e-007	 2.41040e-007
     0.165110	 1.65805e-007	 2.40511e-007
     0.165681	 7.39965e-009	 2.39985e-007
     0.166252	-1.87101e-007	 2.39209e-007
     0.166823	-9.49003e-008	 2.38990e-007
     0.167394	 2.19734e-009	 2.38806e-007
     0.167965	-1.57699e-007	 2.38322e-007
     0.168536	 7.79983e-008	 2.38062e-007
     0.169107	 3.63500e-007	 2.38305e-007
     0.169678	 2.43504e-007	 2.37780e-007
     0.170249	 1.82605e-007	 2.37405e-007
     0.170820	 1.56804e-007	 2.36906e-007
     0.171391	-1.44901e-007	 2.36097e-007
     0.171962	 7.29997e-008	 2.36227e-007
     0.172533	 5.51954e-008	 2.35937e-007
     0.173104	 5.11063e-008	 2.35638e-007
     0.173675	-1.65994e-007	 2.34792e-007
